id,book,sub_subject,sub_sub_subject
1,1,0,1
2,2,0,1
3,3,0,1
4,4,0,1
5,5,0,1
6,6,0,1
7,7,0,1
8,8,0,1
9,9,0,1
10,10,0,1
11,11,0,1
12,12,0,1
13,13,0,1
14,14,0,1
15,15,0,1
16,16,0,1
17,17,0,1
18,18,0,1
19,19,0,1
20,20,0,1
21,21,0,1
22,22,0,1
23,23,0,1
24,24,0,1
25,25,0,1
26,26,0,1
27,27,0,1
28,28,0,1
29,29,0,1
30,30,0,1
31,31,0,1
32,32,0,1
33,33,0,1
34,34,0,2
35,35,0,2
36,36,0,2
37,37,0,2
38,38,0,2
39,39,0,2
40,40,0,2
41,41,0,2
42,42,0,2
43,43,0,2
44,44,0,2
45,45,0,2
46,46,0,2
47,47,0,2
48,48,0,2
49,49,0,2
50,50,0,2
51,51,0,2
52,52,0,2
53,53,0,2
54,54,0,2
55,55,0,2
56,56,0,2
57,57,0,2
58,58,0,2
59,59,0,2
60,60,0,2
61,61,0,2
62,62,0,2
63,63,0,2
64,64,0,2
65,65,0,2
66,66,0,2
67,67,0,2
68,68,0,2
69,69,0,2
70,70,0,2
71,71,0,2
72,72,0,2
73,73,0,2
74,74,0,2
75,75,0,2
76,76,0,2
77,77,0,2
78,78,0,2
79,79,0,2
80,80,0,2
81,81,0,2
82,82,0,2
83,83,0,2
84,84,0,2
85,85,0,2
86,86,0,2
87,87,0,2
88,88,0,2
89,89,0,2
90,90,0,2
91,91,0,2
92,92,0,2
93,93,0,2
94,94,0,2
95,95,0,2
96,96,0,2
97,97,0,2
98,98,0,2
99,99,0,2
100,100,0,2
