id,title,slug
1,"Fiction Books & Literature",fiction-books-amp-literature
2,"Graphic Novels",graphic-novels
3,Horror,horror
4,"Mystery & Crime",mystery-amp-crime
5,Poetry,poetry
6,"Romance Books",romance-books
7,"Science Fiction & Fantasy",science-fiction-amp-fantasy
8,Thrillers,thrillers
9,Westerns,westerns
10,"Ages 0-2",ages-0-2
11,"Ages 3-5",ages-3-5
12,"Ages 6-8",ages-6-8
13,"Ages 9-12",ages-9-12
14,Teens,teens
15,"Children's Books",children-s-books
21,"African Americans",african-americans
22,"Antiques & Collectibles",antiques-amp-collectibles
23,"Art, Architecture & Photography",art-architecture-amp-photography
24,"Bibles & Bible Studies",bibles-amp-bible-studies
25,Biography,biography
26,"Business Books",business-books
27,Christianity,christianity
28,"Computer Books & Technology Books",computer-books-amp-technology-books
29,"Cookbooks, Food & Wine",cookbooks-food-amp-wine
30,"Crafts & Hobbies Books",crafts-amp-hobbies-books
31,"Education & Teaching",education-amp-teaching
32,Engineering,engineering
33,Entertainment,entertainment
34,"Foreign Languages",foreign-languages
35,"Game Books",game-books
36,"Gay & Lesbian",gay-amp-lesbian
37,"Health Books, Diet & Fitness Books",health-books-diet-amp-fitness-books
38,History,history
39,"Home & Garden",home-amp-garden
40,"Humor Books",humor-books
41,"Judaism & Judaica",judaism-amp-judaica
42,Law,law
43,"Medical Books",medical-books
44,"New Age & Spirituality",new-age-amp-spirituality
45,Nonfiction,nonfiction
46,"Parenting & Family",parenting-amp-family
47,Pets,pets
48,Philosophy,philosophy
49,"Political Books & Current Events Books",political-books-amp-current-events-books
50,"Psychology & Psychotherapy",psychology-amp-psychotherapy
51,Reference,reference
52,"Religion Books",religion-books
53,"Science & Nature",science-amp-nature
54,"Self Improvement",self-improvement
55,"Sex & Relationships",sex-amp-relationships
56,"Social Sciences",social-sciences
57,"Sports & Adventure",sports-amp-adventure
58,"Study Guides & Test Prep",study-guides-amp-test-prep
59,Travel,travel
60,"True Crime",true-crime
61,Weddings,weddings
62,"Women's Studies",women-s-studies
